CTF,CTF2,CTF3
0.910129,0.003012,-0.82781
0.460201,-0.058971,-0.83232
0.187262,0.556248,-0.8232
0.755371,-0.064136,-0.83757
0.998963,-0.200033,-0.83965
0.81111,-0.108385,-0.83174
0.271117,0.27501,-0.81364
0.387752,0.465558,-0.82045
0.878227,-0.278447,-0.83461
0.984461,0.069796,-0.82319
0.657773,-0.456431,-0.82923
0.04022,-0.152724,-0.82432
0.596086,0.140619,-0.83005
0.968392,0.261423,-0.8431
0.909288,0.267656,-0.83321
0.443106,0.207658,-0.83176
0.22283,0.050428,-0.83313
0.78931,-0.138495,-0.84263
0.999685,-0.69392,-0.83631
0.756721,0.312438,-0.83679
0.168825,-0.095514,-0.825
0.497064,0.088234,-0.83877
0.936073,-0.38969,-0.83631
0.945124,0.111263,-0.83396
0.517944,-0.085799,-0.83409
0.149737,0.024867,-0.83456
0.748824,0.196939,-0.82259
0.999627,-0.025914,-0.83745
0.783135,0.09166,-0.83004
0.198744,-0.147545,-0.82536
0.480105,-0.095215,-0.82232
0.933067,-0.016386,-0.83755
0.944297,0.021317,-0.83493
0.50633,0.079309,-0.84592
0.173906,0.019035,-0.84446
0.771843,0.009415,-0.82895
0.999818,0.182847,-0.81862
0.746187,0.063073,-0.83304
0.131334,0.081601,-0.83595
0.548101,-0.02666,-0.82877
0.961695,0.138893,-0.84101
0.9062,-0.163305,-0.84309
0.406636,0.297745,-0.83752
0.293533,-1.053919,-0.83486
0.849919,0.539053,-0.83136
0.986562,-0.656311,-0.83245
0.633721,1.493916,-0.82825
0.035181,-0.144252,-0.83213
0.687446,-0.02841,-0.8365
0.996053,0.106949,-0.8289
0.80431,0.14522,-0.82143
0.206605,-0.046585,-0.83618
0.496443,0.01416,-0.83069
0.948453,0.046841,-0.82875
0.918096,0.13761,-0.8378
0.41869,0.047862,-0.8403
0.295965,0.078055,-0.8414
0.859414,0.015927,-0.83535
0.980425,0.009478,-0.83439
0.59439,-1.531138,-0.82818
0.100627,0.258399,-0.83054
0.74416,-0.15291,-0.82667
0.999966,-0.016932,-0.82881
0.73228,0.100972,-0.81941
0.079453,-0.219078,-0.83483
0.616134,0.062929,-0.82257
0.986839,1.857559,-0.83329
0.834628,0.493286,-0.83387
0.238167,0.263401,-0.84207
0.486147,-0.332931,-0.82716
0.951198,-0.1165,-0.8272
0.906076,0.424552,-0.8357
0.372899,0.17409,-0.82373
0.36243,-0.115003,-0.82759
0.902311,0.204799,-0.82465
0.952428,0.198554,-0.84537
0.483342,-0.010704,-0.82774
0.250658,-0.03782,-0.83848
0.84811,-0.142773,-0.83496
0.9797,0.05023,-0.84172
0.57083,0.875765,-0.8473
0.154511,-0.128737,-0.82443
0.794979,0.073226,-0.84061
0.993597,0.057636,-0.83379
0.637546,0.164468,-0.82954
0.076089,-0.016161,-0.82063
0.747844,0.009899,-0.8154
0.999038,0.149411,-0.84338
0.685915,-0.069539,-0.8427
0.016402,-0.036352,-0.82692
0.710241,-0.032384,-0.8316
0.99998,0.092608,-0.82284
0.718192,0.147311,-0.82024
0.024144,0.149379,-0.82404
0.684653,0.112035,-0.83519
0.999308,0.030553,-0.82378
0.736147,0.064745,-0.83563
0.045469,2.198654,-0.81235
0.6725,0.134474,-0.83487
0.998802,0.081174,-0.8446
0.740822,-0.234261,-0.82335
0.047609,0.021297,-0.83186
0.674446,-0.0954,-0.82291
0.999138,0.063883,-0.82519
0.732562,0.146584,-0.83353
0.030646,-0.09728,-0.84471
0.690368,0.030882,-0.83143
0.999888,0.194988,-0.8336
0.710897,-0.045574,-0.84014
0.00543,-0.003997,-0.83507
0.719342,0.013974,-0.83811
0.999529,0.009614,-0.83021
